0,7
0,8
0,9
0,10
0,11
0,47
0,48
0,49
1,6
1,12
1,15
1,16
1,17
1,18
1,21
1,26
1,28
1,33
1,37
1,38
1,41
1,45
1,47
1,48
1,49
1,51
1,52
1,53
1,54
2,6
2,14
2,19
2,21
2,22
2,26
2,28
2,33
2,36
2,39
2,42
2,44
2,47
2,48
2,50
3,6
3,14
3,19
3,21
3,23
3,26
3,28
3,33
3,35
3,40
3,43
3,46
3,51
3,52
3,53
3,54
4,6
4,14
4,19
4,21
4,24
4,26
4,28
4,30
4,31
4,33
4,35
4,36
4,37
4,38
4,39
4,40
4,43
4,55
5,6
5,12
5,14
5,19
5,21
5,25
5,26
5,28
5,29
5,32
5,33
5,35
5,40
5,43
5,50
5,55
6,7
6,8
6,9
6,10
6,11
6,15
6,16
6,17
6,18
6,21
6,26
6,28
6,33
6,35
6,40
6,43
6,51
6,52
6,53
6,54
7,1
7,2
7,3
7,4
7,5
7,48
8,0
8,6
8,10
8,11
8,15
8,20
8,22
8,23
8,24
8,25
8,26
8,27
8,33
8,34
8,35
8,36
8,39
8,40
8,41
8,42
8,43
8,44
8,48
8,55
8,57
8,58
8,59
8,60
8,61
8,62
8,64
8,65
8,66
8,67
8,68
8,69
9,0
9,9
9,12
9,15
9,16
9,19
9,20
9,22
9,32
9,37
9,39
9,48
9,55
9,57
9,64
10,0
10,3
10,4
10,5
10,6
10,8
10,13
10,15
10,17
10,18
10,20
10,22
10,23
10,24
10,25
10,26
10,32
10,37
10,39
10,40
10,41
10,42
10,43
10,48
10,55
10,57
10,58
10,59
10,60
10,61
10,64
10,65
10,66
10,67
10,68
11,0
11,6
11,8
11,9
11,10
11,11
11,12
11,13
11,15
11,20
11,22
11,32
11,37
11,39
11,48
11,55
11,57
11,64
12,0
12,6
12,8
12,13
12,15
12,20
12,22
12,32
12,37
12,39
12,48
12,55
12,57
12,64
13,1
13,2
13,3
13,4
13,5
13,8
13,13
13,15
13,20
13,22
13,23
13,24
13,25
13,26
13,27
13,33
13,34
13,35
13,36
13,39
13,48
13,49
13,50
13,51
13,52
13,53
13,55
13,57
13,64
13,65
13,66
13,67
13,68
13,69

17,7
17,8
17,10
17,12
17,14
17,15
17,16
17,23
17,24
17,26
17,28
17,30
17,31
17,32
17,35
17,39
17,40
17,42
17,44
17,51
17,55
17,56
17,58
17,60
18,6
18,10
18,12
18,14
18,16
18,22
18,26
18,28
18,30
18,32
18,34
18,36
18,38
18,42
18,44
18,50
18,52
18,54
18,58
18,60
19,7
19,11
19,14
19,16
19,23
19,27
19,30
19,32
19,34
19,35
19,36
19,38
19,42
19,43
19,50
19,51
19,52
19,54
19,58
19,59
20,8
20,11
20,14
20,16
20,24
20,27
20,30
20,32
20,34
20,36
20,38
20,42
20,44
20,50
20,52
20,54
20,58
20,60
21,6
21,7
21,11
21,14
21,16
21,22
21,23
21,27
21,30
21,32
21,34
21,36
21,39
21,40
21,42
21,44
21,50
21,52
21,55
21,56
21,58
21,60
